Feature,Importance
Engine rpm,0.2348343680863838
Fuel pressure,0.1604912897592617
lub oil temp,0.1592849641535702
Coolant temp,0.15127466093148592
Lub oil pressure,0.1500781796217499
Coolant pressure,0.14403653744754844
