,precision,recall,f1-score,support
Normal,0.5056988602279544,0.5837950138504155,0.5419479267116682,1444.0
Faulty,0.7316964285714286,0.6654486398700772,0.6970019136721242,2463.0
accuracy,0.6352700281545943,0.6352700281545943,0.6352700281545943,0.6352700281545943
macro avg,0.6186976443996914,0.6246218268602464,0.6194749201918962,3907.0
weighted avg,0.6481693006758625,0.6352700281545943,0.6396950395562044,3907.0
