mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_f2,split1_test_f2,split2_test_f2,mean_test_f2,std_test_f2,rank_test_f2,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,Model,param_max_features,param_max_samples,param_n_estimators,param_learning_rate
0.16695006688435873,0.001850902998273857,0.02088006337483724,0.00027811302140635615,gini,,1.0,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1}",0.5972602739726027,0.6174455777135028,0.6235347845943066,0.6127468787601374,0.011229301135668094,9,0.5966717095310136,0.6191653786707882,0.6228813559322034,0.6129061480446684,0.011579288036319224,9,0.6003044140030441,0.6099269183922046,0.6264840182648402,0.6122384502200297,0.010812039720279408,1,0.5984825493171472,0.6145114281331493,0.6246774927910154,0.612557156747104,0.010782954090833186,1,0.5995743387047735,0.6117524891576568,0.6257601556798832,0.6123623278474378,0.010699008679441633,1,0.5972602739726027,0.6174444333209121,0.6235343355636017,0.6127463476190389,0.011228997731127852,11,0.5972602739726027,0.617444433320912,0.6235343355636016,0.6127463476190388,0.011228997731127802,9,Decision Tree,,,,
0.25641608238220215,0.007536770616851298,0.021283785502115887,0.0003355125964980782,entropy,,4.0,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 4}",0.6063926940639269,0.6095296087684579,0.6058760846399757,0.6072661291574536,0.001614357722915048,10,0.6111994909322304,0.6160051629557922,0.6017543859649123,0.6096530132843117,0.005919732879535618,10,0.584779299847793,0.5813032886723508,0.6264840182648402,0.5975222022616613,0.02052820422531631,2,0.5976975731176104,0.598151339495535,0.6138702460850112,0.6032397195660522,0.007519199715135969,9,0.5898790149235399,0.5879273175238682,0.6213768115942029,0.599727714680537,0.015328944920594832,2,0.6280351396620866,0.6318670200242122,0.6380980520840864,0.632666737256795,0.00414690345055016,10,0.6063926940639269,0.609525312524912,0.6058729470130535,0.6072636512006309,0.0016132510051724788,10,Decision Tree,,,,
0.28231342633565265,0.005325583723141275,0.021301905314127605,0.00023036888741361162,entropy,,1.0,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1}",0.5975646879756469,0.6054193941239153,0.6099862992845182,0.6043234604613601,0.005129971398342046,11,0.5979223953559426,0.6080574640849469,0.6140018921475875,0.6066605838628257,0.006638323585280881,12,0.5957382039573821,0.5928745432399513,0.5926940639269407,0.5937689370414246,0.0013944299517053547,3,0.5968283013113754,0.6003700277520814,0.6031598513011153,0.6001193934548573,0.002590912899777781,11,0.5961737646987144,0.5958501652589057,0.5968364907117896,0.5962868068898032,0.0004105227378812521,3,0.5975646879756469,0.6054174847097779,0.609988932085273,0.6043237015902325,0.0051308044566355454,12,0.5975646879756469,0.6054174847097777,0.6099889320852729,0.6043237015902325,0.005130804456635497,11,Decision Tree,,,,
0.15151198705037436,0.0023001653842723013,0.019826332728068035,5.022370352744735e-05,gini,,4.0,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 4}",0.5983257229832573,0.606485005328056,0.608159537220277,0.6043234218438635,0.004295758216458334,12,0.6050065019505851,0.6163061564059901,0.6001126443255421,0.6071417675607057,0.006781198409043753,11,0.5665144596651446,0.5639464068209501,0.6487062404870624,0.5930557023243858,0.03936483644234869,4,0.5851281245087251,0.5889648592781046,0.6234640140433002,0.5991856659433766,0.017238692395663086,12,0.5738159842131229,0.573694318815439,0.638367982745192,0.5952927619245846,0.03045882124196881,4,0.6231963470319635,0.6350912685832513,0.6431489700535968,0.6338121952229372,0.008195682312724276,9,0.5983257229832573,0.6064785306555283,0.6081533638488905,0.6043192058292254,0.00429283465207488,12,Decision Tree,,,,
0.09837961196899414,0.005487922979662609,0.020006736119588215,0.0005887260511006704,entropy,5,4.0,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 4}",0.6360730593607306,0.6433247069569189,0.6457603897092403,0.6417193853422966,0.004114517827973673,1,0.6616052060737527,0.6863366336633664,0.6547157622739018,0.6675525340036735,0.013576889898814032,3,0.5570776255707762,0.5277101096224117,0.6170471841704719,0.5672783064545533,0.03717811757894605,6,0.6048587010411502,0.5966603546221381,0.6353236169879329,0.6122808908837404,0.016633873887064693,2,0.5752546208977745,0.5532852308281719,0.624230105937423,0.5842566525544565,0.029654356133377063,5,0.6802054447015978,0.685410282222556,0.6995419422058334,0.6883858897099957,0.00816968844254207,2,0.6360730593607306,0.6433071096057263,0.6457647613909607,0.6417149767858059,0.004113671291996389,1,Decision Tree,,,,
0.09200104077657063,0.0006734581243299896,0.019336859385172527,0.00042524288279931937,entropy,5,1.0,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 1}",0.6360730593607306,0.6433247069569189,0.6457603897092403,0.6417193853422966,0.004114517827973673,1,0.6616052060737527,0.6863366336633664,0.6547157622739018,0.6675525340036735,0.013576889898814032,3,0.5570776255707762,0.5277101096224117,0.6170471841704719,0.5672783064545533,0.03717811757894605,6,0.6048587010411502,0.5966603546221381,0.6353236169879329,0.6122808908837404,0.016633873887064693,2,0.5752546208977745,0.5532852308281719,0.624230105937423,0.5842566525544565,0.029654356133377063,5,0.6802054447015978,0.685410282222556,0.6995549196602874,0.688390215528147,0.008175595683641521,1,0.6360730593607306,0.6433071096057263,0.6457647613909607,0.6417149767858059,0.004113671291996389,1,Decision Tree,,,,
0.06220841407775879,0.00014481686587322704,0.018514315287272137,0.00020982914999725984,gini,5,4.0,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 4}",0.6357686453576864,0.6433247069569189,0.6457603897092403,0.6416179140079485,0.004253907648636614,3,0.6624180626365622,0.6863366336633664,0.6547157622739018,0.6678234861912768,0.013463130634233683,1,0.5537290715372907,0.5277101096224117,0.6170471841704719,0.5661621217767248,0.03751634111418324,8,0.6032167136461615,0.5966603546221381,0.6353236169879329,0.6117335617520775,0.016894071749897092,4,0.572516681354652,0.5532852308281719,0.624230105937423,0.5833440060400824,0.02995793768991901,7,0.6776111609200994,0.6857592367032075,0.6989496141061221,0.6874400039098097,0.008792084693825931,4,0.6357686453576865,0.6433071096057263,0.6457647613909607,0.6416135054514579,0.004252983675114609,3,Decision Tree,,,,
0.06277322769165039,0.0004579506846394096,0.019310712814331055,0.0005405712487453646,gini,5,1.0,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1}",0.6357686453576864,0.6433247069569189,0.6457603897092403,0.6416179140079485,0.004253907648636614,3,0.6624180626365622,0.6863366336633664,0.6547157622739018,0.6678234861912768,0.013463130634233683,1,0.5537290715372907,0.5277101096224117,0.6170471841704719,0.5661621217767248,0.03751634111418324,8,0.6032167136461615,0.5966603546221381,0.6353236169879329,0.6117335617520775,0.016894071749897092,4,0.572516681354652,0.5532852308281719,0.624230105937423,0.5833440060400824,0.02995793768991901,7,0.6776111609200994,0.6857604417525497,0.6989496141061221,0.6874404055929237,0.008792007922795322,3,0.6357686453576865,0.6433071096057263,0.6457647613909607,0.6416135054514579,0.004252983675114609,3,Decision Tree,,,,
0.11142007509867351,0.0019501292215305635,0.022550582885742188,0.0035753899582626368,gini,10,1.0,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1}",0.6249619482496195,0.6363221190439945,0.6347998173237935,0.6320279615391359,0.0050349285653686635,6,0.6448993999294035,0.648720505151213,0.6608569353667393,0.6514922801491186,0.006803077087500809,7,0.5561643835616439,0.5943970767356882,0.5540334855403348,0.5681983152792223,0.01854573640101514,5,0.597254004576659,0.6203718417289051,0.602748799470111,0.6067915485918918,0.009861252929037877,6,0.5719025856132223,0.6045215236915453,0.5725430980244117,0.5829890691097265,0.015227989893083762,9,0.6513757242574405,0.6697397278813193,0.663730795684811,0.6616154159411902,0.007644836203575546,8,0.6249619482496195,0.6363157377590161,0.6348121142683404,0.6320299334256586,0.0050353769628473,6,Decision Tree,,,,
0.10904932022094727,0.0004630470603892263,0.020288864771525066,9.294051087636243e-05,gini,10,4.0,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 4}",0.624048706240487,0.6335819759476328,0.6354087380118739,0.6310131400666646,0.004980747520820688,8,0.6440438317426652,0.6485936970518469,0.6593839541547278,0.6506738276497467,0.00643299030428336,8,0.5546423135464231,0.5828258221680876,0.5604261796042618,0.5659647717729243,0.012154136249714498,10,0.5960091593065097,0.6139534883720931,0.6058910646700675,0.6052845707828901,0.007338283747120215,7,0.5704803055920846,0.5948902840803133,0.577768014059754,0.5810462012440506,0.010231378071417094,10,0.6569948731492486,0.6716328603978146,0.6680458456387411,0.6655578597286014,0.006229511649617743,6,0.6240487062404871,0.6335742505056572,0.6354201543575511,0.6310143703678984,0.004982783546676019,8,Decision Tree,,,,
0.16685088475545248,0.0013426306035901924,0.020177761713663738,2.4899495046675223e-05,entropy,10,4.0,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 4}",0.6322678843226789,0.6317552138833917,0.6340386664636931,0.6326872548899213,0.000978244235394257,5,0.6511304347826087,0.6485743730676743,0.6666666666666666,0.6554571581723164,0.007994713811276321,5,0.5698630136986301,0.5749086479902558,0.5363774733637747,0.5603830450175535,0.01709902939096717,11,0.6077922077922078,0.6095238095238096,0.5944669365721997,0.6039276512960724,0.00672698315017447,8,0.5844520761785825,0.5882719511435159,0.558195526832668,0.5769731847182555,0.013369073464232165,11,0.6691478956281609,0.6675659579122614,0.6700497499986096,0.6689212011796773,0.0010265958509499402,5,0.6322678843226788,0.6317465614380502,0.6340535357074659,0.632689327156065,0.0009878404447061927,5,Decision Tree,,,,
0.16991631189982095,0.0015907795174009915,0.020811716715494793,0.00046928163100342057,entropy,10,1.0,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1}",0.6301369863013698,0.6320596742274319,0.6325163647434922,0.631571008424098,0.001031004734298904,7,0.6492146596858639,0.6500519210799585,0.6657784545108488,0.6550150117588904,0.007618574957148053,6,0.5662100456621004,0.571863580998782,0.5324200913242009,0.5568312393283611,0.0174149117255211,12,0.6048780487804878,0.6084561801393163,0.5916779431664412,0.6016707240287484,0.007215377468842905,10,0.5810684161199625,0.5859594383775351,0.5546394367983764,0.5738890970986247,0.013757242721253747,12,0.6623455631774893,0.6604153805082341,0.6666135517995095,0.663124831828411,0.0025896945201741087,7,0.6301369863013698,0.6320505119605782,0.6325316047364,0.6315730343327827,0.0010342591635660496,7,Decision Tree,,,,
19.857479015986126,0.08330430920148221,0.5241734981536865,0.008087808910187224,,,,"{'max_features': 1.0, 'max_samples': 1.0, 'n_estimators': 200}",0.6855403348554033,0.6963008068199117,0.6883848378748668,0.6900753265167273,0.004552673435168762,1,0.6978253813696852,0.7149049683227743,0.705238726790451,0.7059896921609701,0.006992902800355133,2,0.654490106544901,0.6528623629719854,0.6474885844748859,0.6516136846639241,0.0029916245265735257,1,0.6754633993088281,0.6824765239535254,0.6751309315981591,0.6776902849535041,0.003387102647657476,1,0.6627211639233093,0.6643941741555625,0.6582693736073285,0.6617949038954,0.0025847970479180053,1,0.7515342326751596,0.7640069373763666,0.7634766229697236,0.7596725976737501,0.005758764160256575,1,0.6855403348554033,0.6962941951846229,0.688391064466432,0.6900751981688193,0.0045488905417129565,1,Bagging,1.0,1.0,200.0,
17.10836919148763,0.08042481521397277,0.5070532162984213,0.004957380790557963,,,,"{'max_features': 1.0, 'max_samples': 0.8, 'n_estimators': 200}",0.6812785388127854,0.6937128938955701,0.6926472826914294,0.6892129051332616,0.005627285224109872,2,0.6944172380019589,0.7125668449197861,0.7075409836065574,0.7048416888427674,0.007651435681590654,3,0.6474885844748859,0.6492082825822169,0.6569254185692542,0.651207428542119,0.004103729836616361,2,0.6701323251417769,0.6794136392606756,0.6812943962115233,0.6769467868713254,0.004879342727229422,2,0.6563599333456768,0.6609623015873016,0.6664607782581841,0.661261004397054,0.004129058368284198,2,0.7462144010527071,0.7590532112711046,0.761475545841004,0.7555810527216051,0.006696643378439004,3,0.6812785388127853,0.6937061199821282,0.6926527214648951,0.6892124600866029,0.005626588202062185,2,Bagging,1.0,0.8,200.0,
15.218417167663574,0.13508159947896145,0.5562858581542969,0.008270286298515011,,,,"{'max_features': 0.8, 'max_samples': 1.0, 'n_estimators': 200}",0.6765601217656012,0.6899071395950678,0.6891459887349672,0.6852044166985455,0.006120332987877459,4,0.6853035143769968,0.7073495177918191,0.7057265806024495,0.6994598709237551,0.010031959073858935,5,0.6529680365296804,0.6476857490864799,0.6490106544901065,0.6498881467020889,0.0022439748356752557,3,0.6687451286048324,0.676204101096805,0.6761814145258483,0.6737102147424953,0.0035108582935358605,4,0.6591886908420406,0.6587994796506226,0.6596126477321947,0.6592002727416193,0.00033207548089787164,3,0.7410776811715074,0.7564562835907503,0.7565371145927767,0.7513570264516782,0.007268669660694392,5,0.6765601217656012,0.6899007132038184,0.6891520994740423,0.685204311481154,0.006120000953592166,4,Bagging,0.8,1.0,200.0,
9.95083498954773,0.05865787978393792,0.27051885922749835,0.0006671080320307375,,,,"{'max_features': 1.0, 'max_samples': 1.0, 'n_estimators': 100}",0.6879756468797564,0.6908205206271884,0.6867103059826457,0.6885021578298635,0.0017187934608304326,3,0.7025254181698918,0.7118701386540413,0.7045681893964655,0.7063212487401328,0.004011305941006848,1,0.6520547945205479,0.6409866017052375,0.6432267884322679,0.6454227282193511,0.004777924005994922,5,0.6763498579096937,0.6745713827912193,0.6725015913430936,0.6744742773480022,0.0015725480368348691,3,0.6615603187349435,0.6540110607096253,0.6546254414771671,0.6567322736405786,0.0034231448023512604,4,0.7497572796415606,0.7597196499053572,0.7589566219315272,0.7561445171594817,0.004527188623930306,2,0.6879756468797564,0.690812935555815,0.686716926493844,0.6885018363098051,0.0017130828051903936,3,Bagging,1.0,1.0,100.0,
13.160845677057901,0.0691399363541687,0.5367549260457357,0.0043481994624756885,,,,"{'max_features': 0.8, 'max_samples': 0.8, 'n_estimators': 200}",0.6767123287671233,0.6857969249505252,0.6844268534023443,0.6823120357066642,0.0039989008796869376,6,0.6885352387138681,0.7,0.7009283819628647,0.6964878735589108,0.005636120060300627,7,0.6453576864535768,0.6501218026796589,0.643531202435312,0.6463368971895159,0.0027782660232874355,4,0.666247642991829,0.6741395642563941,0.6710046024440565,0.6704639365640932,0.003244466572164664,6,0.6535544731487761,0.6595205733349808,0.6542461005199307,0.6557737156678959,0.0026644316327223737,5,0.741175631126216,0.7548684920383317,0.7556577066613275,0.7505672766086251,0.006648707572690537,6,0.6767123287671233,0.6857914949471353,0.6844330799021872,0.6823123012054819,0.0039984239679626814,6,Bagging,0.8,0.8,200.0,
8.517457962036133,0.0420397811182683,0.2621460755666097,0.0018181940834588505,,,,"{'max_features': 1.0, 'max_samples': 0.8, 'n_estimators': 100}",0.6753424657534246,0.6889937585629472,0.6899071395950678,0.6847477879704799,0.006661012472211429,5,0.6912350597609562,0.7064891846921797,0.7052631578947368,0.7009958007826244,0.0069200112907454436,4,0.6337899543378995,0.6464677222898904,0.6526636225266362,0.644307099718142,0.007855149272835586,6,0.6612672701286327,0.6751470822070281,0.6779446640316206,0.6714530054557605,0.0072923941716488,5,0.6445022288261516,0.6576420296140264,0.6625463535228677,0.6548968706543485,0.007617940767385228,6,0.7418182829104203,0.7553768374685065,0.7585349937059346,0.7519100380282872,0.0072514885241695935,4,0.6753424657534246,0.6889872858024795,0.6899128100452914,0.6847475205337318,0.006661103029100751,5,Bagging,1.0,0.8,100.0,
6.487226724624634,0.07905693866662612,0.268887996673584,0.0019385816572689122,,,,"{'max_features': 0.8, 'max_samples': 0.8, 'n_estimators': 100}",0.6750380517503806,0.6856446947785051,0.6838179327142639,0.6815002264143831,0.004629905755044829,7,0.6903973509933775,0.7025589896975739,0.7002652519893899,0.697740530893447,0.005276174526559685,6,0.634703196347032,0.643727161997564,0.6429223744292237,0.6404509109246065,0.004077506419899808,7,0.6613798572561459,0.6718576195773082,0.6703697825741946,0.6678690864692163,0.004628605734760186,7,0.6451113861386139,0.6546918550634871,0.6536271354295617,0.6511434588772209,0.004287410494117357,7,0.734308014150386,0.7474663837581595,0.7481470975923115,0.7433071651669524,0.0063694260387796445,8,0.6750380517503805,0.6856383146365292,0.6838241591999956,0.6815001751956351,0.004629043785582398,7,Bagging,0.8,0.8,100.0,
